Block Length,CCMP Encryption Time IEEE,CCMP Decryption Time IEEE,GCMP Encryption Time IEEE,GCMP Decryption Time IEEE,CCMP Encryption Time Optimized,CCMP Decryption Time Optimized,GCMP Encryption Time Optimized,GCMP Decryption Time Optimized
1,1.899456,3.7137880000000023,0.91711,2.249569,1.43575,2.266914,0.3051420000000001,1.215382
2,1.8123620000000007,4.953687999999998,1.478336,3.291218000000001,1.3350760000000002,2.4031450000000003,0.314112,1.1336529999999998
3,2.1886290000000006,4.34323,1.262757,2.9401040000000003,1.4931769999999998,3.493028,0.3234649999999999,1.2035459999999998
4,2.405276,4.949128999999999,1.467083,3.3210480000000007,1.5991050000000004,4.141879,0.313337,1.1944460000000003
5,2.6820389999999987,5.822061,1.673617,3.482131999999999,1.643942999999999,10.368995,0.5647449999999999,1.453431
6,2.923063000000001,7.967378999999998,3.33553,5.340392000000001,1.78666,4.1886790000000005,0.339937,1.212711
7,2.9276240000000007,6.681269000000001,2.072207,4.121437,1.9446970000000008,3.998388,0.365556,1.2903099999999998
8,3.221303999999999,8.094311999999995,2.3235580000000007,4.5833410000000026,2.079934,4.617834999999999,0.365048,1.4628129999999997
9,3.60326,8.180068000000004,2.706115,5.09023,2.230617,5.034339,0.397443,1.411911
10,4.450742,11.816605999999997,2.6564890000000005,5.330766000000001,2.3964100000000013,4.983055000000002,0.384674,1.4337330000000006
11,4.043229999999999,9.227431,2.812111,5.496837000000001,2.2701939999999987,6.094120999999999,0.48727,1.375538
12,4.534502000000002,10.295181000000005,3.172879000000001,5.9549119999999975,2.6207700000000007,6.290087000000001,0.4552640000000001,1.458935
13,4.563304,10.54329300000001,3.222488,6.0911620000000015,2.6437670000000018,5.902220000000001,0.44468,1.486994
14,4.805262,11.652766000000003,3.512095,6.5066329999999954,2.9040630000000003,6.396157000000001,0.461193,1.4813239999999996
15,5.2781439999999975,13.053768,3.7411720000000006,6.871826,2.9589769999999995,6.535767999999998,0.4495910000000001,1.4863800000000005
16,5.160304,12.273273,3.823394000000001,6.86755,3.0471100000000004,8.078384000000002,0.4850810000000001,1.5583700000000005
17,6.106924000000004,17.318458999999994,4.037289,7.174898,3.27367,7.261895000000001,0.618753,1.5025860000000002
18,5.788149000000001,13.772481,4.252126,7.593075000000001,3.3498369999999986,8.474941999999999,0.498807,1.527892
19,6.448081,14.891251,4.463757000000001,7.950183999999996,3.268094,8.959047,0.9613260000000002,2.1206240000000003
20,6.020489,15.289827000000004,4.612788000000001,8.185056999999999,3.5867360000000024,8.118467000000004,0.511873,1.665664
21,6.282979999999998,15.489441000000005,4.877777000000001,8.718388,3.552176999999999,8.303613000000002,0.519761,1.6757790000000004
22,6.652279,16.174680000000002,5.095880000000001,9.051847,3.691093999999999,8.756700000000002,0.517315,1.6599630000000003
23,7.456444999999999,17.346373,5.186148,9.183678000000002,3.942226000000001,9.363328999999997,0.5595760000000001,1.628728
24,7.490897000000001,17.805677000000006,5.429558,9.597179999999998,4.2074830000000025,10.602365000000006,0.5401500000000001,1.6286900000000002
25,7.574388000000003,18.172657,5.536042999999999,9.8959,4.250990000000002,9.746907,0.583153,1.716220999999999
26,7.745461000000001,18.764192,5.848647000000001,10.167887000000004,4.389927000000001,10.1009,0.5755780000000001,1.6496519999999997
27,8.928859000000003,20.272410000000008,6.0276950000000005,10.473263,4.377682,11.179141,0.612508,1.7351330000000005
28,8.687831,20.383333999999994,6.254606,11.384668999999995,4.812689999999999,11.023542,0.619182,1.69179
29,8.596665999999999,21.13212900000001,6.340442,11.190108,4.6850580000000015,11.312631,0.621265,1.710295
30,8.609200999999999,21.369642,7.111342000000001,12.217800999999998,4.781932000000005,12.394750000000007,0.6769970000000001,1.9357670000000005
31,8.971253000000003,21.840604,6.898894000000001,12.021849000000003,5.330768000000002,12.917189000000004,0.6401749999999999,1.704459
32,9.169477000000004,22.37478899999999,6.954612000000001,12.110418000000005,5.152814999999999,15.651124000000005,0.657265,1.7765049999999998
33,9.555198999999996,23.585716,7.153308999999998,12.412314999999998,6.339747999999999,14.488115999999998,0.7930330000000001,1.9680540000000009
34,9.707350000000003,24.324283999999995,7.980988999999999,13.316612000000012,5.621731999999997,14.548644,0.706091,2.0594850000000005
35,9.872354000000003,24.574914000000003,7.662261999999999,13.19502,5.353836999999998,14.043567,0.7256950000000001,1.954899
36,10.27943,25.10705099999999,7.998435000000003,13.852092,5.721008000000003,14.423395000000005,0.7044340000000001,2.000461
37,10.440166000000003,25.700491000000003,8.05081,14.019644000000005,6.7819410000000016,15.891150000000003,0.7699320000000001,1.717898
38,10.683122,26.20719100000001,8.206745,13.973405,5.795099,15.385186,0.72977,1.958143
39,10.922387999999996,26.689919000000003,8.392979999999998,14.389390000000008,6.310679000000001,15.028311000000002,0.7110440000000001,1.859764
40,14.359454,30.494087,8.729255000000002,15.020900000000005,6.554765000000002,15.508613000000004,0.7570140000000001,2.001735
41,14.852645,31.309389000000014,8.743096000000001,14.966326999999998,6.859195000000002,15.970715,0.752428,1.849282
42,11.781904,28.710733,9.028407,20.350383,6.467788000000004,17.382002000000004,1.259192,2.4713150000000006
43,15.846906,33.46572599999999,9.148525,16.154100000000003,6.778774,17.34109000000001,0.770801,1.875688
44,12.370756000000004,30.047485,9.419127,16.089223999999994,7.017692999999999,16.786762999999997,0.7644679999999999,2.105635000000001
45,13.704678,43.24882300000002,9.537862,16.452634999999997,7.383826000000001,17.444469,0.888577,2.214867
46,18.52516300000001,36.952908000000015,9.727003000000009,16.758013000000005,7.772692000000002,17.520959,0.8050620000000002,2.01926
47,14.029168000000004,32.714812999999985,9.922003,17.042644000000006,7.596309000000002,17.454908000000007,0.8056200000000001,2.063623
48,14.436888,33.82545999999998,10.196802,17.562414,7.335423999999999,17.313932000000012,0.7977639999999999,2.1789210000000003
49,13.490604000000005,33.223783,10.399225,17.815130999999994,7.706174000000001,17.986674000000008,0.8551500000000001,2.2156829999999994
50,16.21020500000002,36.21887100000004,10.605493000000004,17.941965,7.676750000000001,18.629126000000003,0.857529,2.0866139999999995
51,15.724391999999993,36.25903100000003,10.865015,18.471471000000005,8.281276999999994,19.816451,0.8610760000000001,2.086438
52,15.885325000000009,36.59849800000002,10.947703,18.597655,7.905499,18.734617,0.86268,2.1623580000000007
53,15.735494,36.86448300000001,11.10004,19.120423,10.042056,21.002751,0.8934949999999999,2.174858
54,17.27313499999999,38.926701,11.406857,19.280579999999997,8.367825999999999,19.717949,0.8915590000000001,2.1946480000000004
55,17.350336000000006,39.18176199999999,11.420111,19.572083999999997,8.906213000000006,20.960173,0.961608,2.201479000000001
56,16.041247,38.43242700000001,11.63538,20.080567999999992,8.457882999999997,20.290328,0.922274,1.9917400000000005
57,18.391075,40.98858400000002,11.76807,20.088609,8.636574000000001,20.473683999999995,0.930228,2.246391
58,17.86441900000001,40.76873799999999,12.048975,20.609593000000004,8.288464000000006,20.46227,0.937864,2.203940000000001
59,17.260862999999993,40.52043900000002,12.269206,20.79458100000001,8.814631999999996,21.510272999999994,0.952083,2.2687669999999995
60,17.586901000000008,41.28408999999999,12.472627,21.209066,9.343984,23.241034000000003,0.97781,2.2120360000000003
61,17.39334300000001,41.45255200000001,12.742643000000005,21.504147,8.893173000000004,21.565324,0.997741,2.2334780000000016
62,17.988137000000005,42.36008899999999,12.895389000000003,21.762712000000004,8.733573,21.660956,0.98797,2.216739
63,18.771165999999997,43.992034,13.227746999999995,22.35422400000001,10.073136000000003,23.252637000000007,1.0028310000000002,2.57153
64,21.698857000000004,47.125154,13.331952000000005,23.250008999999995,9.469920000000004,23.59598800000001,1.036278,2.8782110000000003
65,21.18446100000001,46.79148800000001,14.457915000000002,23.61320100000001,15.455591000000007,31.173698,1.0184,2.330484
66,20.189155,46.16091899999999,13.934163000000002,24.079689000000005,10.032251000000004,23.578515000000003,1.040693,2.491001
67,21.541869,47.941651,13.877851,23.319457000000003,10.549149999999992,27.606615,1.072535,2.177165000000001
68,22.357501,49.220672000000015,14.106955999999998,23.81695599999999,11.818707999999996,27.35099599999999,1.105098,2.387988
69,19.675796,46.77269700000001,17.107445000000002,26.832825999999987,10.388035999999998,25.044976000000005,1.073906,2.385139000000001
70,21.00388800000001,48.505864,14.666517000000002,24.977648,9.757016000000004,31.157552000000013,1.103711,2.3133660000000007
71,21.518119,49.81363900000002,14.967536000000004,25.093399,10.249334000000005,24.866114000000003,1.08952,2.5099839999999998
72,26.823441,55.573257,14.795990000000002,25.241391,11.416864000000002,26.144842000000008,1.128052,2.527979
73,23.971134000000006,52.52757100000003,14.975925999999998,25.210713,10.645135,25.559073,1.4802530000000005,2.832458
74,20.698850000000004,49.783292,15.251669000000003,27.041393000000003,10.917608000000005,26.028103000000005,1.1424010000000002,2.521554
75,20.937199000000003,50.86533900000001,15.462307999999998,25.985812000000006,10.236606000000004,25.90316500000001,1.230031,2.545795000000001
76,22.241851,52.29343599999998,15.738100000000005,26.310094999999997,10.815974,26.288498,1.1627070000000002,2.578444000000001
77,24.036575999999997,54.703428,15.865266000000007,26.633232000000003,10.668511000000002,26.880432,1.193809,2.4608100000000004
78,22.523375,53.27566100000002,16.014247,27.898870999999996,11.462691000000008,27.43891900000001,1.306358,2.708825
79,27.246249,58.28136800000003,16.294261000000006,27.346739000000003,11.747465000000004,27.729775000000007,1.245113,2.5599180000000006
80,22.99360499999999,54.405035,16.700595999999997,27.755469,11.851981,28.216959000000003,1.250853,2.6199650000000005
81,24.08686100000001,55.940244,17.230878999999998,28.337477,10.868304999999998,27.627447999999998,1.308008,2.694074
82,24.595396000000004,56.693554000000006,16.889281000000008,28.355425,12.871263000000004,30.073719,1.259654,2.6979510000000007
83,26.590564000000004,58.91320800000001,16.984933000000005,28.346085,12.212401000000002,32.75570900000001,4.008451,5.442029000000001
84,24.23434,56.898586,17.195777,29.178007,11.882131000000006,28.777237,1.3911490000000002,2.7339910000000005
85,30.319573,63.74026099999999,17.623225000000005,29.339358999999988,12.210262000000006,29.554476000000008,1.2323800000000005,2.5431100000000004
86,25.438962000000007,61.04188900000002,17.872447,30.25704099999999,11.951427000000002,29.466979,1.277919,2.680163
87,26.563672999999994,60.33287000000001,17.880395,31.010462,13.194281999999998,31.396235,1.2329,3.298050000000001
88,24.782511000000014,59.01750699999999,17.858477,30.044172,12.642564999999998,30.599318,2.2681210000000003,3.669320000000001
89,26.836925,61.78136800000002,18.405210000000004,30.756722,13.421993,32.139089000000006,2.15369,3.607039
90,24.378694000000007,59.85685,18.530763,31.564691000000007,13.404125,31.732247000000005,1.886783,3.385863
91,27.805722000000014,63.51100900000005,18.670487000000005,31.172864000000004,14.107869999999998,32.37966199999999,1.3253990000000002,2.752734
92,23.9488,59.78277599999999,18.664659000000004,31.343236999999995,13.296528999999998,32.081402,1.4454820000000002,2.8560450000000004
93,30.942806,67.00748299999998,19.12253700000001,32.235923000000014,12.893016999999997,31.7525,1.648319,3.143159
94,28.771455999999997,64.81111699999998,18.88088100000001,31.958584000000005,14.129214000000006,33.053886000000006,1.884509,3.353267
95,27.454056999999995,64.79506599999999,19.041317000000003,32.145417999999985,15.187142000000003,34.23662999999998,1.6420830000000004,3.083441999999999
96,27.613774000000006,64.39329600000002,22.89944400000001,35.88277699999999,14.049939,33.573166,3.175267,4.828200000000001
97,26.585173999999995,64.00338200000002,19.33146000000001,32.300957999999994,14.128818999999996,33.850821,2.436569,4.029329
98,27.306808999999998,163.30352600000006,21.350340999999997,39.40756899999998,14.813373,39.806782,1.41127,2.9583180000000007
99,33.135784,79.38654400000006,24.495508000000008,38.906812,14.111002,38.914137,1.401031,2.822985
100,33.698559,80.37568000000002,25.917373000000005,39.570735000000006,14.09126,34.78162299999999,1.995865,3.394943
