Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
1,3.452819531114783,4.8125,4.0,1.7310590000000001,21.9453125,0.9209233880000001,1.4312240000000005,21.96875,2.7780057840000008,3.75,0.9304260000000001,21.97265625,1.1676846300000001,1.5234910000000002,21.98828125,0.810497212
2,3.840018266288633,5.4599625007211605,4.0,1.9877619999999996,21.98828125,1.057489384,1.829626,21.9921875,4.451480058,3.875,1.1885670000000002,21.9921875,1.8101875410000003,1.522765,22.0,0.8101109799999999
3,3.889460876028361,5.831954882778696,4.0,2.272638999999999,22.0,1.2090439479999995,3.6723,22.0,10.7414775,3.875,1.264346,22.0,2.264443686,2.024529000000001,22.00390625,1.0770494280000005
4,4.077612211296895,6.137492001110314,3.875,2.3361929999999993,22.00390625,1.2428546759999997,3.134662,22.0078125,10.711140054,4.0,1.4860320000000002,22.0078125,3.059739888,1.832505,22.0078125,0.9748926600000001
5,4.076441577715047,6.340069011092754,4.0,2.6578190000000013,22.0078125,1.4139597080000008,3.0339390000000006,22.0078125,11.859667551000003,3.875,1.7034340000000003,22.0078125,3.963890918000001,1.9402660000000005,22.01171875,1.0322215120000002
6,4.11937933228612,6.501420435392502,3.875,2.9202980000000016,22.01171875,1.5535985360000009,3.3745580000000004,22.01171875,14.851429758000002,3.875,1.900154,22.01171875,4.93089963,2.0687689999999996,22.01171875,1.100585108
7,4.073914389167472,6.527114648336088,3.875,3.078230000000001,22.015625,1.6376183600000005,4.022533000000001,22.01953125,19.682253969000005,4.0,2.096031,22.01953125,6.0009367529999995,2.129949,22.02734375,1.133132868
8,4.095717931070341,6.7375315118139225,4.0,3.303722,22.02734375,1.757580104,4.436713,22.02734375,23.891699505000002,3.875,2.280005000000001,22.02734375,7.138695655000002,2.217782,22.03515625,1.1798600240000001
9,4.057872657388591,6.767995654368047,3.875,3.6480790000000005,22.04296875,1.9407780280000004,7.86804,22.05078125,46.24047108,4.0,2.4779850000000003,22.05078125,8.422671015,2.202653,22.05078125,1.171811396
10,4.04671239604115,6.814267556014382,4.0,3.751316000000002,22.0546875,1.995700112000001,5.142722,22.0546875,32.753996418,4.0,2.7018910000000003,22.0546875,9.907834297,2.518035000000001,22.0546875,1.3395946200000004
11,4.066467058374845,6.826895443316822,4.0,3.9370480000000003,22.05859375,2.0945095360000003,5.343640999999999,22.0625,36.66272090099999,4.0,2.907475999999999,22.0625,11.440918059999996,2.616087,22.0625,1.391758284
12,4.063983005942994,6.987440859853589,4.0,4.498844000000004,22.0625,2.393385008000002,5.660736,22.0625,41.623391808,4.0,3.098263999999999,22.0625,13.022003591999995,2.7360389999999994,22.0625,1.4555727479999998
