Block Length,Entropy Plain Text,Entropy Cipher Text,CCMP Entropy MIC,CCMP Encryption Time,CCMP Encryption RAM,CCMP Encryption CPU,CCMP Decryption Time,CCMP Decryption RAM,CCMP Decryption CPU,GCMP Entropy MIC,GCMP Encryption Time,GCMP Encryption RAM,GCMP Encryption CPU,GCMP Decryption Time,GCMP Decryption RAM,GCMP Decryption CPU
1,3.452819531114783,4.726409765557392,4.0,1.4029339999999997,21.921875,0.7449579539999999,2.2655240000000005,21.9765625,4.050756912000001,3.875,1.2487510000000002,21.98046875,0.21554748,0.379485,21.984375,1.3723773490000002
2,3.840018266288633,5.376629167387827,3.875,1.3420670000000001,21.9921875,0.7126375770000001,2.3997850000000005,21.99609375,4.924358820000001,4.0,1.195489,22.0,0.17628716799999997,0.289946,22.0,1.3616619710000002
3,3.889460876028361,5.695159765557392,4.0,1.592637,22.00390625,0.8456902470000001,2.82519,22.00390625,6.54314004,4.0,1.45841,22.00390625,0.197045136,0.304082,22.00390625,1.71946539
4,4.077612211296895,6.071928094887357,4.0,1.7355550000000008,22.0078125,0.9215797050000004,3.3978880000000014,22.01171875,8.766551040000003,4.0,1.2123300000000004,22.015625,0.23575971199999995,0.342674,22.015625,1.4778302700000006
5,4.076441577715047,6.264599089240291,4.0,1.7393180000000001,22.015625,0.923577858,3.350963,22.01953125,9.530138772,3.875,1.2353620000000003,22.01953125,0.2557209200000001,0.35126500000000005,22.01953125,1.5553207580000004
6,4.11937933228612,6.407757712216851,4.0,2.0920409999999996,22.01953125,1.1108737709999998,5.448042999999999,22.0234375,16.932517643999997,4.0,1.3404409999999998,22.0234375,0.27119232000000004,0.353115,22.0234375,1.7412328589999997
7,4.073914389167472,6.519454882778696,4.0,1.842769,22.0234375,0.9785103390000001,3.8886070000000004,22.0234375,13.112382804000001,3.75,1.2373,22.0234375,0.30441965600000004,0.376757,22.0234375,1.6567447
8,4.095717931070341,6.642147223664547,3.875,2.262059,22.0234375,1.2011533289999998,4.465784,22.02734375,16.237590624000003,4.0,1.4066399999999994,22.02734375,0.336591552,0.396924,22.02734375,1.939756559999999
9,4.057872657388591,6.757773954221798,3.875,1.9973060000000002,22.02734375,1.0605694860000001,4.498460999999999,22.02734375,17.543997899999994,3.875,1.3403859999999996,22.02734375,0.409700112,0.461374,22.02734375,1.9020077339999995
10,4.04671239604115,6.801622314598573,4.0,2.281214,22.02734375,1.211324634,4.878471,22.02734375,20.313953244000004,4.0,1.30618,22.02734375,0.39437958400000006,0.4249780000000001,22.02734375,1.9057166199999998
11,4.066467058374845,6.884288932945227,4.0,2.468834,22.03125,1.310950854,5.2464569999999995,22.0390625,23.231311595999998,4.0,1.479991,22.0390625,0.38345384,0.39613,22.0390625,2.2185065090000005
12,4.063983005942994,6.971839357460149,4.0,2.58018,22.0390625,1.37007558,14.063677,22.0390625,65.986772484,4.0,1.365072,22.0390625,0.4052391840000001,0.40202300000000013,22.0390625,2.1008458080000003
